evaluation,hypothesis,fold,candidate_signals,tp,fp,fn,precision,recall,f1,entry_match_1s,entry_match_5s,entry_match_15s,entry_match_30s,entry_match_60s,entry_match_one_m1_bar,complexity
oos_aggregate,H1 H1 boundary / bar-close proxy,all,3787,15,3772,291,0.003960918933192501,0.049019607843137254,0.007253004746147494,0.0,0.008888888888888889,0.014577991452991454,0.023208270487682252,0.06090057817998995,0.09410099296128709,single raw-clock predicate
oos_aggregate,H1 M30 boundary / bar-close proxy,all,7573,29,7544,277,0.0038293938993793743,0.09477124183006536,0.007335183446718638,0.0,0.018499560080442436,0.024188662644545,0.038508044243338355,0.10601275766716942,0.15568658873805932,single raw-clock predicate
oos_aggregate,H2 H1 fixed-timer proxy,all,3787,15,3772,291,0.003960918933192501,0.049019607843137254,0.007253004746147494,0.0,0.008888888888888889,0.014577991452991454,0.023208270487682252,0.06090057817998995,0.09410099296128709,single raw-clock predicate
oos_aggregate,H2 M30 fixed-timer proxy,all,7573,29,7544,277,0.0038293938993793743,0.09477124183006536,0.007335183446718638,0.0,0.018499560080442436,0.024188662644545,0.038508044243338355,0.10601275766716942,0.15568658873805932,single raw-clock predicate
oos_aggregate,H3 H1 post-120s window,all,11354,27,11327,279,0.002378016558041219,0.08823529411764706,0.004601378635762038,0.00392156862745098,0.017254901960784313,0.05237368024132729,0.08471216691804927,0.09960187280040221,0.1311381347410759,single raw-clock predicate
oos_aggregate,H3 M30 post-120s window,all,22712,56,22656,250,0.0024656569214512153,0.1830065359477124,0.0048699889218932965,0.00392156862745098,0.033351244343891404,0.09157051282051283,0.16318124685771745,0.1919802664655606,0.23135966566113622,single raw-clock predicate
oos_fold,H1 M30 boundary / bar-close proxy,1,1487,5,1482,63,0.0033624747814391394,0.07352941176470588,0.006430868167202572,0.0,0.0,0.0,0.014705882352941176,0.10294117647058823,0.11764705882352941,single raw-clock predicate
oos_fold,H1 M30 boundary / bar-close proxy,2,1541,9,1532,69,0.005840363400389357,0.11538461538461539,0.011117974058060531,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.1282051282051282,0.20512820512820512,single raw-clock predicate
oos_fold,H1 M30 boundary / bar-close proxy,3,1487,6,1481,58,0.004034969737726967,0.09375,0.007736943907156673,0.0,0.015625,0.03125,0.0625,0.109375,0.140625,single raw-clock predicate
oos_fold,H1 M30 boundary / bar-close proxy,4,1488,4,1484,47,0.002688172043010753,0.0784313725490196,0.005198180636777128,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.13725490196078433,single raw-clock predicate
